GEOID,pop,pop65,income
060371231041,1069,105,85114.0
060371231042,1562,80,45268.0
060371231043,2069,260,92554.0
060371232031,1360,159,47250.0
060371232032,734,45,24756.0
060371232033,832,95,66215.0
060371232041,1379,92,70750.0
060371232042,1954,158,51500.0
060371232051,2121,127,96094.0
060371232052,713,101,34792.0
060371232061,2470,343,53036.0
060371233011,2422,481,75595.0
060371233012,1534,233,64625.0
060371233031,1045,194,72188.0
060371233032,1797,201,69808.0
060371233041,2420,572,64721.0
060371233042,905,146,56298.0
060371233043,1110,693,29306.0
060371234101,2166,378,36734.0
060371234102,1303,53,
060371234201,2764,282,53714.0
060371234202,778,74,62865.0
060371234203,911,83,73929.0
060371235101,2457,357,60030.0
060371235102,2195,335,40857.0
060371235201,2488,362,59643.0
060371236011,763,90,
060371236012,2156,454,66603.0
060371236013,2579,227,112798.0
060371236021,1577,385,56667.0
060371236022,875,52,117500.0
060371236023,647,211,57292.0
060371237001,658,155,111477.0
060371237002,922,176,98731.0
060371237003,901,216,54453.0
060371237004,1346,124,93167.0
060371238001,1323,205,
060371238002,2336,279,94675.0
060371238003,1893,394,75900.0
060371239011,2858,365,47898.0
060371239012,1511,250,104327.0
060371239021,1523,150,152875.0
060371239022,1235,68,71146.0
060371240001,976,271,50000.0
060371240002,1258,220,99732.0
060371240003,1516,315,
060371240004,752,234,136906.0
060371241021,1990,167,64853.0
060371241022,981,118,92153.0
060371241023,682,102,79297.0
060371241031,1891,194,70350.0
060371241041,1743,65,53388.0
060371241042,1034,281,61354.0
060371241051,980,101,69643.0
060371241052,1211,92,62011.0
060371242011,1645,117,74817.0
060371242012,1015,146,84769.0
060371242013,785,51,64018.0
060371242031,622,62,133472.0
060371242032,1441,125,77578.0
060371242041,1757,224,44450.0
060371242042,780,115,65000.0
060371243001,497,33,52688.0
060371243002,1311,141,96964.0
060371243003,1286,177,70250.0
060371244001,1072,152,120313.0
060371244002,1667,214,85680.0
060371244003,1731,164,107857.0
060371245001,1052,220,78409.0
060371245002,1676,343,77206.0
060371246001,568,179,109728.0
060371246002,958,66,88259.0
060371246003,1323,310,91563.0
060371247001,919,277,156641.0
060371247002,1062,224,103676.0
060371247003,2053,120,112125.0
060371247004,1217,244,105347.0
060371249021,2193,190,63599.0
060371249022,936,227,54824.0
060371249031,2818,319,90714.0
060371249032,1146,235,69886.0
060371251011,1248,137,70714.0
060371251012,2068,194,89132.0
060371251013,1149,46,66600.0
060371251021,1484,229,168194.0
060371251022,569,133,
060371252001,1786,99,85673.0
060371252002,1184,194,112222.0
060371252003,1233,123,72074.0
060371253101,838,164,94688.0
060371253102,723,66,85633.0
060371253103,670,41,
060371253104,898,0,85909.0
060371253105,1041,18,46440.0
060371253211,1766,167,65980.0
060371253212,1074,36,56667.0
060371253221,1340,454,
060371253222,750,64,70967.0
060371254021,1285,144,62188.0
060371254022,599,30,94044.0
060371254023,1937,69,93333.0
060371254031,1307,135,88510.0
060371254032,1287,7,85184.0
060371254041,3001,39,79967.0
060371255011,1647,126,65268.0
060371255012,1322,224,57083.0
060371255021,969,92,81964.0
060371255022,1620,382,63688.0
060371255023,1107,78,109238.0
060371256001,595,151,137292.0
060371256002,1288,217,106429.0
060371256003,1107,216,106250.0
060371271021,1162,235,68438.0
060371271022,1430,74,57750.0
060371271023,2700,224,65170.0
060371271031,3354,291,56071.0
060371271041,2329,198,65120.0
060371271042,1998,278,63867.0
060371272101,1256,119,63250.0
060371272102,1661,113,64500.0
060371272103,2517,434,71607.0
060371272201,2151,217,57554.0
060371272202,807,143,25236.0
060371272203,1792,348,45551.0
060371273001,2590,388,82159.0
060371273002,1711,174,74583.0
060371274001,494,25,72375.0
060371274002,1865,143,94574.0
060371274003,2159,231,57726.0
060371274004,1120,19,36792.0
060371275201,3368,398,56800.0
060371275202,1500,107,50373.0
060371276031,1657,82,61979.0
060371276032,1216,97,51875.0
060371276041,1096,401,38348.0
060371276042,2055,128,49720.0
060371276051,954,60,
060371276052,2728,155,72542.0
060371276061,888,113,66042.0
060371276062,2330,224,66595.0
060371277111,2655,232,71833.0
060371277112,576,114,125655.0
060371277121,1992,212,75145.0
060371277122,2055,143,56146.0
060371278031,2228,449,
060371278032,2774,258,80759.0
060371278041,1134,69,68864.0
060371278042,1582,237,56169.0
060371278043,1717,210,90650.0
060371278051,636,254,
060371278052,1752,198,46719.0
060371278053,1126,125,94821.0
060371278061,1787,172,79219.0
060371278062,467,55,46458.0
060371278063,1475,104,89608.0
060371279101,1849,228,125237.0
060371279102,3223,194,57659.0
060371279201,2659,268,64423.0
060371279202,1726,203,76875.0
060371281011,1880,161,65521.0
060371281012,943,172,99643.0
060371281021,2023,92,59360.0
060371281022,1833,163,57273.0
060371281023,1036,231,55795.0
060371282101,3591,280,48750.0
060371282102,1409,231,43255.0
060371282201,1370,171,62245.0
060371282202,1622,183,54274.0
060371283021,2502,321,70046.0
060371283022,2057,111,44451.0
060371283031,1170,33,51250.0
060371283032,2262,40,32566.0
060371284001,689,58,154292.0
060371284002,868,159,173594.0
060371284003,1460,139,110227.0
060371284004,1257,74,130765.0
060371285001,855,178,110380.0
060371285002,1365,216,
060371285003,1012,99,104735.0
060371285004,1169,168,141389.0
060371286011,1260,117,74205.0
060371286012,2318,99,66721.0
060371286013,1264,76,95833.0
060371286021,824,192,102396.0
060371286022,710,110,76875.0
060371286023,1153,206,
060371287031,2161,538,90925.0
060371287032,1415,133,146250.0
060371287041,1304,169,132768.0
060371287042,1024,176,
060371288011,1530,87,61118.0
060371288012,2334,330,126699.0
060371288021,1161,283,143026.0
060371288022,1376,201,95781.0
060371288023,1780,399,87793.0
060371289101,2005,199,132885.0
060371289102,1114,151,90855.0
060371289103,1409,275,89935.0
060371310211,1794,137,38704.0
060371310212,1443,167,89271.0
060371310221,1105,61,46678.0
060371310222,1772,268,67798.0
060371310231,2655,292,74954.0
060371310241,1271,138,91250.0
060371310242,2623,491,97083.0
060371311001,1243,188,105833.0
060371311002,772,158,138008.0
060371311003,1002,100,100731.0
060371312001,1329,265,175250.0
060371312002,1395,157,
060371312003,957,162,125650.0
060371313001,1068,178,115469.0
060371313002,777,147,71492.0
060371313003,2471,277,96563.0
060371314001,2068,447,82344.0
060371314002,1199,196,138056.0
060371314003,2628,257,107837.0
060371316001,1629,197,100417.0
060371316002,1002,164,109861.0
060371316003,1302,397,84036.0
060371316004,1009,66,58194.0
060371317011,2457,341,89063.0
060371317012,2420,430,64338.0
060371317021,2598,424,63214.0
060371317022,1071,65,87973.0
060371318011,2879,359,60185.0
060371318021,1359,126,91130.0
060371318022,978,129,156313.0
060371319001,784,172,118011.0
060371319002,908,111,131724.0
060371319003,1052,109,157639.0
060371319004,1215,257,164573.0
060371320011,1027,330,141375.0
060371320012,472,46,125988.0
060371320013,1215,172,85893.0
060371320021,1654,29,75852.0
060371320022,932,124,123409.0
060371320023,999,226,112344.0
060371321011,1260,108,125750.0
060371321012,1701,17,
060371321013,1152,138,102094.0
060371321021,957,88,
060371321022,902,213,76146.0
060371321023,3134,644,67368.0
060371323011,1975,408,46974.0
060371323012,1641,94,84300.0
060371323021,1560,119,127480.0
060371323022,1616,272,69814.0
060371325011,2250,205,91511.0
060371325012,2408,771,88295.0
060371325021,2153,441,72109.0
060371325022,1245,415,43179.0
060371327001,1135,466,130317.0
060371327002,1975,132,43110.0
060371327003,1812,322,183482.0
060371329001,1179,209,215625.0
060371329002,2698,413,85741.0
060371330001,1463,227,83716.0
060371330002,2031,342,116444.0
060371330003,602,187,96875.0
060371331011,773,85,175703.0
060371331012,936,187,75234.0
060371331021,2628,683,73611.0
060371331022,1298,133,57500.0
060371340011,1000,125,131471.0
060371340012,2457,61,79273.0
060371340021,988,266,
060371340022,3036,294,73231.0
060371341011,1703,197,93250.0
060371341012,2957,393,85556.0
060371341031,2155,492,37418.0
060371341032,2017,597,116719.0
060371341041,2171,404,73987.0
060371341042,1905,286,70179.0
060371342011,1065,188,99602.0
060371342012,565,123,73861.0
060371342013,2432,145,101207.0
060371343021,1382,223,88021.0
060371343022,1549,349,165250.0
060371343023,1480,188,144258.0
060371343031,472,74,
060371343032,1400,245,86750.0
060371343033,1667,392,128083.0
060371343034,1916,362,158636.0
060371343041,1193,407,45742.0
060371343042,1670,258,111750.0
060371343051,1493,214,73393.0
060371343052,688,30,58750.0
060371343053,1512,140,47582.0
060371343061,1673,389,54697.0
060371343062,2026,315,49870.0
060371344211,1865,319,129497.0
060371344212,1433,287,122440.0
060371344213,1103,256,167750.0
060371344221,1066,274,152759.0
060371344222,4013,795,179643.0
060371344231,1669,302,210625.0
060371344232,1748,702,
060371344241,1622,386,154768.0
060371344242,1213,359,116111.0
060371345201,1490,13,55174.0
060371345202,1190,281,45378.0
060371345203,2498,245,67708.0
060371345211,1325,76,54904.0
060371345212,1411,88,48450.0
060371345221,1009,34,82708.0
060371345222,1732,23,45348.0
060371345223,1780,167,58995.0
060371347101,2509,256,55682.0
060371347102,1486,30,57833.0
060371347103,1309,113,53125.0
060371347201,1832,225,156296.0
060371347202,1922,120,66354.0
060371347203,1791,178,89856.0
060371348011,1601,230,99224.0
060371348012,1350,245,84342.0
060371348021,1665,244,74934.0
060371348022,1458,203,82266.0
060371349011,1026,202,57054.0
060371349012,984,146,91765.0
060371349013,459,130,148750.0
060371349041,1214,175,142596.0
060371349042,1592,124,50781.0
060371349043,2060,273,141429.0
060371349051,4672,172,92695.0
060371349052,1374,139,120978.0
060371349061,1163,75,70972.0
060371349062,1770,142,88815.0
060371349071,1202,0,70148.0
060371349072,2652,0,101769.0
060371351021,1274,214,139766.0
060371351022,1159,295,134250.0
060371351023,1415,339,154942.0
060371351111,1671,397,89419.0
060371351112,806,68,124450.0
060371351113,1330,60,101061.0
060371351131,1429,223,84593.0
060371351132,1551,83,177816.0
060371351151,1827,294,100539.0
060371351152,2094,74,99444.0
060371351161,759,105,
060371351162,748,440,19375.0
060371352011,2174,221,127813.0
060371352012,825,183,133333.0
060371352021,1483,112,93194.0
060371352022,1536,237,168688.0
060371352023,1726,269,159946.0
060371352041,1589,318,103125.0
060371352042,1137,132,129345.0
060371352043,1939,185,136362.0
060371352051,1048,279,158250.0
060371352052,826,214,102853.0
060371370001,2066,451,184886.0
060371370002,2757,880,94846.0
060371371031,1094,277,158837.0
060371371032,1321,294,55581.0
060371371033,1351,133,84234.0
060371371034,1334,332,82150.0
060371371041,1133,286,120755.0
060371371042,1100,351,103774.0
060371372021,351,85,95057.0
060371372022,2075,209,63815.0
060371372023,942,121,
060371372031,641,79,86458.0
060371372032,1954,283,160972.0
060371373011,2182,399,188857.0
060371373021,1742,437,164100.0
060371373022,2822,664,187292.0
060371374011,1101,107,95781.0
060371374012,1339,247,152880.0
060371374013,2233,268,214583.0
060371374021,1737,631,99036.0
060371374022,1438,183,207568.0
060371374023,2730,282,173089.0
060371375011,942,217,78892.0
060371375012,2778,374,87019.0
060371375013,1775,190,120091.0
060371375021,1102,262,143393.0
060371375022,1946,325,132695.0
060371375023,1534,294,147143.0
060371375041,1889,427,208750.0
060371380001,1617,376,144740.0
060371380002,1002,348,118816.0
060371380003,2158,360,159013.0
060371390011,1259,303,134357.0
060371390012,1581,185,101985.0
060371390013,1431,218,113565.0
060371390014,1244,46,125461.0
060371392001,1264,293,172138.0
060371392002,1217,238,94552.0
060371392003,904,166,80807.0
060371392004,2373,475,95817.0
060371393011,1370,231,175493.0
060371393012,696,106,183698.0
060371393013,2071,408,149524.0
060371393021,2025,291,74750.0
060371393022,1804,155,94666.0
060371393023,1172,74,84384.0
060371393031,1598,430,73500.0
060371393032,1238,146,56006.0
060371393033,1971,455,63191.0
060371394011,650,283,110982.0
060371394012,1781,266,80746.0
060371394021,1012,291,194028.0
060371394022,1034,260,195625.0
060371394023,788,181,126042.0
060371395021,2076,300,109635.0
060371395022,1239,174,174231.0
060371395041,2521,561,59803.0
060371395042,1243,169,55125.0
060371395051,1057,360,68194.0
060371395052,1455,225,43677.0
060371395061,1147,393,53366.0
060371395062,1962,296,71142.0
060371396001,2362,575,131025.0
060371396002,1918,379,78448.0
060371396003,884,206,108611.0
060371397011,565,58,
060371397012,2034,272,193068.0
060371397013,1184,663,202768.0
060371397014,1207,386,
060371397015,645,106,152235.0
060371397031,2554,724,240083.0
060371397041,2871,586,136913.0
060371397051,1378,288,228125.0
060371397052,1430,421,250001.0
060371397053,1203,309,250001.0
060371398011,1226,252,227500.0
060371398012,2288,556,168056.0
060371398021,1735,376,237750.0
060371398022,2097,563,187069.0
060371411011,1678,191,150000.0
060371411012,1948,119,78553.0
060371411013,1065,103,64789.0
060371411021,991,172,65100.0
060371411022,1968,214,124750.0
060371412011,1765,133,109432.0
060371412012,1542,38,75119.0
060371412013,647,118,96250.0
060371412021,739,143,216316.0
060371412022,1496,287,106326.0
060371412023,876,115,148906.0
060371413031,1656,143,83719.0
060371413032,1399,210,87264.0
060371413041,1804,373,109716.0
060371413042,1143,138,113220.0
060371413051,1738,159,102331.0
060371413052,1175,141,113300.0
060371413061,1190,78,118169.0
060371413062,2032,226,96702.0
060371414001,1728,295,108659.0
060371414002,1535,265,175859.0
060371414003,1758,252,111250.0
060371415001,2887,709,215272.0
060371416001,1496,317,133594.0
060371416002,1200,287,250001.0
060371416003,1339,283,250001.0
060371417001,828,245,250001.0
060371417002,1623,303,220781.0
060371417003,635,112,250001.0
060371431011,846,315,101094.0
060371431012,1370,174,106971.0
060371431021,2174,170,107647.0
060371432001,2174,124,68047.0
060371432002,934,46,85298.0
060371432003,1107,96,109783.0
060371433011,570,105,111250.0
060371433012,2703,261,86364.0
060371433021,567,98,136026.0
060371433022,1479,323,104778.0
060371433023,1255,257,97007.0
060371434011,2878,535,164688.0
060371434012,800,179,99222.0
060371434013,1622,173,114058.0
060371434021,1714,151,185431.0
060371434022,245,58,73583.0
060371435001,1196,169,215114.0
060371435002,1186,124,250001.0
060371435003,1718,369,96719.0
060371435004,1225,212,161691.0
060371436021,917,134,107604.0
060371436022,2648,593,106368.0
060371436023,1251,184,101850.0
060371436031,1784,190,84414.0
060371436032,668,76,
060371436051,1899,31,112716.0
060371436061,1759,92,99750.0
060371437001,1111,176,132465.0
060371437002,1063,285,214500.0
060371437003,1206,121,176506.0
060371438011,2008,202,163229.0
060371438012,1193,322,231989.0
060371438021,720,96,113241.0
060371438022,1553,540,192614.0
060371439011,951,198,
060371439012,1633,241,237981.0
060371439013,1471,331,212000.0
060371439021,1662,226,133947.0
060371439022,1505,357,250001.0
060371810001,719,162,97875.0
060371810002,1412,427,143183.0
060371810003,895,116,111600.0
