h3,name,holc,access_min,access_km,street_m,access_src
8828301703fffff,Farragut Village SW 4,,73.1,5.85,0.0,routed
8828301705fffff,Farragut Village SW 2,,55.5,4.44,0.0,routed
8828301707fffff,Farragut Village SW,,67.0,5.36,0.0,routed
8828301709fffff,Hercules NW 7,,58.9,4.71,0.0,routed
882830170bfffff,Farragut Village SW 6,,69.7,5.58,0.0,routed
882830170dfffff,Bayo Vista NW 8,,50.5,4.04,0.0,routed
8828301711fffff,Farragut Village SW 8,,91.9,7.35,0.0,routed
8828301713fffff,Farragut Village W,,204.2,16.34,0.0,routed
8828301715fffff,Farragut Village SW 5,,84.5,6.76,0.0,routed
8828301719fffff,Farragut Village SW 9,,187.0,14.96,0.0,routed
882830171bfffff,Farragut Village SW 10,,192.3,15.39,0.0,routed
882830171dfffff,Farragut Village SW 7,,80.7,6.46,0.0,routed
8828301729fffff,Farragut Village,,51.8,4.14,0.0,routed
8828301741fffff,Hercules NW 4,,62.9,5.03,0.0,routed
8828301743fffff,Hercules NW 6,,74.3,5.95,0.0,routed
8828301745fffff,Dylan Apartment Homes NW 2,,59.4,4.75,0.0,routed
8828301747fffff,Hercules NW 5,,48.5,3.88,0.0,routed
8828301749fffff,Bayside Apartment Homes N 2,,63.1,5.04,0.0,routed
882830174bfffff,Bayside Apartment Homes NW 4,,71.4,5.71,0.0,routed
882830174dfffff,Hercules NW 3,,51.5,4.12,0.0,routed
8828301751fffff,Bayside Apartment Homes NW 7,,91.6,7.33,0.0,routed
8828301753fffff,Bayside Apartment Homes NW 9,,175.2,14.01,0.0,routed
8828301755fffff,Hercules NW 8,,91.4,7.32,0.0,routed
8828301757fffff,Bayside Apartment Homes NW 8,,101.2,8.1,0.0,routed
8828301759fffff,Tara Hills Mobile Manor N 6,,83.0,6.64,0.0,routed
882830175bfffff,Tara Hills Mobile Manor N 7,,163.4,13.07,0.0,routed
882830175dfffff,Bayside Apartment Homes NW 6,,81.2,6.49,0.0,routed
