h3,pop,pct65,income,ac_est
8828301b5dfffff,70.0,9.06,81966.67348319787,38.5
8828305245fffff,2.0,8.31,158608.0,66.44
8828305261fffff,19.0,8.31,158608.0,66.44
8828305263fffff,5.0,8.31,158608.0,66.44
8828305265fffff,19.0,8.31,158608.0,66.44
8828305267fffff,10.0,8.31,158608.0,66.44
8828305269fffff,19.0,8.31,158608.0,66.44
882830526bfffff,9.0,8.31,158608.0,66.44
882830526dfffff,19.0,8.31,158608.0,66.44
8828305341fffff,19.0,8.31,158608.0,66.44
8828305343fffff,10.0,8.31,158608.0,66.44
8828305345fffff,19.0,8.31,158608.0,66.44
8828305347fffff,13.0,8.31,158608.0,66.44
8828305349fffff,19.0,8.31,158608.0,66.44
882830534bfffff,14.0,8.31,158608.0,66.44
882830534dfffff,19.0,8.31,158608.0,66.44
8828305359fffff,8.0,8.31,158608.0,66.44
882830535bfffff,3.0,8.31,158608.0,66.44
8828305369fffff,19.0,8.31,158608.0,66.44
882830536dfffff,11.0,8.31,158608.0,66.44
8828308801fffff,692.0,26.93,238702.40388710424,89.12
8828308803fffff,709.0,40.32,197521.78839109343,83.01
8828308805fffff,706.0,22.4,248262.83828911182,90.82
8828308807fffff,712.0,32.36,219751.62266595356,85.04
8828308809fffff,301.0,16.79,249317.34450737017,91.42
882830880bfffff,252.0,32.51,208285.87179994825,84.03
882830880dfffff,682.0,27.17,249509.6046315808,91.59
8828308811fffff,160.0,19.53,223207.0,85.77
8828308813fffff,143.0,19.91,222325.25920162592,85.42
8828308815fffff,372.0,23.32,246046.4533256019,90.31
8828308817fffff,274.0,17.04,,66.44
8828308819fffff,124.0,21.29,223207.0,85.77
882830881bfffff,124.0,21.29,223207.0,85.77
882830881dfffff,193.0,26.75,222841.22974035863,85.51
8828308821fffff,370.0,28.17,245073.54998495965,90.04
8828308823fffff,290.0,24.4,250000.99999999997,92.32
8828308825fffff,443.0,25.12,250001.0,93.51
8828308827fffff,432.0,24.92,250000.99999999997,92.32
8828308829fffff,517.0,33.58,238140.27770576705,89.07
882830882bfffff,380.0,32.98,228079.75340261354,87.19
882830882dfffff,324.0,21.65,218314.5579120637,84.93
8828308831fffff,394.0,25.11,250001.0,93.51
8828308833fffff,263.0,24.19,250001.0,93.51
8828308835fffff,339.0,24.81,250000.99999999997,92.32
8828308837fffff,263.0,24.19,250001.0,93.51
8828308839fffff,552.0,33.22,222351.03510920482,85.44
882830883bfffff,353.0,22.81,250001.00000000003,94.72
882830883dfffff,541.0,34.69,216916.87921464868,84.82
8828308841fffff,213.0,12.09,250000.99999999997,92.32
8828308843fffff,222.0,10.43,250001.00000000003,94.72
8828308845fffff,412.0,22.75,233236.92205984204,88.05
8828308847fffff,540.0,17.73,224598.95692067774,86.13
8828308849fffff,212.0,12.19,250001.0,93.51
882830884bfffff,219.0,10.88,250001.0,93.51
882830884dfffff,212.0,12.19,250001.0,93.51
8828308851fffff,154.0,16.47,235077.59649689536,88.56
8828308853fffff,124.0,21.29,223207.0,85.77
8828308855fffff,175.0,14.1,240911.59704281035,89.38
8828308857fffff,124.0,21.29,223207.0,85.77
8828308859fffff,219.0,10.61,249491.65971594295,91.55
882830885bfffff,127.0,20.69,224699.88977531364,86.15
882830885dfffff,222.0,10.41,250001.0,93.51
8828308861fffff,421.0,20.86,192346.6422911685,82.63
8828308863fffff,633.0,27.66,249276.9309872139,91.37
8828308865fffff,291.0,17.1,198949.546091845,83.14
8828308867fffff,271.0,14.64,198355.40045478754,83.1
8828308869fffff,593.0,25.62,208385.72331276248,84.05
882830886bfffff,637.0,26.12,233968.20032094192,88.43
