h3,pop,pct65,income,ac_est,ac_src
8829a1818bfffff,1018.0,22.74,145183.2639907236,99.66,measured
8829a1818dfffff,424.0,22.9,179639.13668461188,99.8,measured
8829a18191fffff,1510.0,13.96,187638.9293662174,99.78,measured
8829a18193fffff,1997.0,11.35,170702.45774222026,98.99,measured
8829a18195fffff,1747.0,18.21,142215.993123907,99.07,measured
8829a18197fffff,1974.0,12.78,130702.37416543598,99.52,measured
8829a18199fffff,1190.0,23.9,140394.93747688568,99.21,measured
8829a1819bfffff,1211.0,22.24,159419.07396277503,98.5,measured
8829a1819dfffff,1767.0,17.36,157046.5518643331,99.8,measured
8829a181a1fffff,625.0,22.47,227647.74292485559,99.85,measured
8829a181a3fffff,1445.0,19.2,93942.55811602819,99.42,measured
8829a181a5fffff,947.0,23.93,197767.50542380323,99.73,measured
8829a181a7fffff,757.0,28.59,192932.6375725673,99.6,measured
8829a181a9fffff,566.0,22.43,224720.2869365266,99.87,measured
8829a181abfffff,774.0,17.1,139253.65141846033,99.57,measured
8829a181adfffff,675.0,21.99,223919.17578804356,99.82,measured
8829a181b1fffff,724.0,22.33,113796.33434902936,99.49,measured
8829a181b3fffff,1782.0,12.76,95437.96091897381,99.79,measured
8829a181b5fffff,1315.0,26.0,100969.92470287616,99.54,measured
8829a181b7fffff,568.0,14.17,120918.22534566821,99.82,measured
8829a181b9fffff,1776.0,17.42,132429.07218392816,99.12,measured
8829a181bbfffff,3329.0,17.32,94664.11867767839,99.48,measured
8829a181bdfffff,1946.0,12.69,99643.01376505656,99.4,measured
8829a181c1fffff,82.0,39.61,123051.49846296043,93.2,measured
8829a181c3fffff,82.0,39.61,123055.18554696147,93.2,measured
8829a181c5fffff,82.0,39.61,123050.0,93.2,measured
8829a181c7fffff,110.0,34.58,129982.93375205282,95.23,measured
8829a181c9fffff,107.0,27.02,134085.94978483376,88.26,measured
8829a181cbfffff,147.0,22.14,136550.26634212618,93.2,measured
8829a181cdfffff,87.0,31.04,132118.98098233706,83.98,measured
8829a181d1fffff,276.0,21.99,218206.9946802062,98.37,measured
8829a181d3fffff,1023.0,18.94,167660.20369848446,99.4,measured
8829a181d5fffff,263.0,17.65,146446.00356621924,95.22,measured
8829a181d7fffff,1025.0,18.6,157692.16002972462,99.2,measured
8829a181d9fffff,240.0,21.33,210467.18181618938,97.35,measured
8829a181dbfffff,266.0,23.85,244821.0,99.4,measured
8829a181ddfffff,184.0,17.72,139964.47645365662,93.2,measured
8829a181e1fffff,429.0,26.36,191060.00143959423,99.9,measured
8829a181e3fffff,515.0,22.51,220579.19051696578,99.85,measured
8829a181e5fffff,428.0,26.26,190866.37003165684,99.88,measured
8829a181e7fffff,452.0,24.89,199673.27728531542,99.84,measured
8829a181e9fffff,113.0,28.05,180462.9445040501,98.34,measured
8829a181ebfffff,331.0,23.6,204344.06878760358,99.41,measured
8829a181edfffff,386.0,26.85,187038.31634473443,99.89,measured
8829a18201fffff,0.0,0.0,,65.01,income-model
8829a18203fffff,43.0,36.82,195471.90131971467,76.65,measured
8829a18205fffff,0.0,0.0,,65.01,income-model
