GEOID,pop,pop65,income,units
060290060122,1898,441,111827.0,679
060290061011,1411,168,34861.0,577
060290061012,1220,442,42102.0,709
060290061013,1106,130,98204.0,502
060290061021,869,22,72121.0,298
060290061022,1085,125,100000.0,332
060290061023,1303,259,85469.0,566
060290061024,1576,418,83710.0,794
060290062011,1422,124,44561.0,483
060290062012,1025,119,63750.0,277
060290062021,1953,9,59250.0,378
060290062022,931,106,43542.0,307
060290062023,2153,136,64676.0,505
060290062024,2692,82,80588.0,550
060290063011,1774,269,61250.0,458
060290063012,1828,96,34769.0,525
060290063031,3102,87,43182.0,747
060290063032,1016,97,44830.0,279
060290063033,872,31,35268.0,246
060290063041,1675,141,44107.0,408
060290063042,1476,94,67381.0,310
060290063043,1055,63,37107.0,275
060290064031,1777,58,63920.0,435
060290064032,1481,109,41833.0,406
060290064033,1418,78,25236.0,352
060290064034,1199,175,31731.0,452
060290064041,1881,231,20389.0,653
060290064042,1717,134,40296.0,462
060290064051,1347,215,50417.0,465
060290064052,999,86,68750.0,281
060290064061,1319,246,26814.0,384
060290064062,1770,194,29266.0,454
060290064063,795,112,27013.0,376
060290065001,1038,96,29813.0,708
060290065002,1985,165,34402.0,284
060290065003,763,116,,322
060290066001,1330,129,36204.0,425
060290066002,1017,78,108056.0,288
060290066003,2434,210,70750.0,714
